"Notes"	"State"	"State Code"	"ICD Chapter"	"ICD Chapter Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	1092	4430141	24.6
	"Alabama"	"01"	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	1188	4447100	26.7
	"Alabama"	"01"	"Certain infectious and parasitic diseases"	"A00-B99"	"2001"	"2001"	1211	4467634	27.1
	"Alabama"	"01"	"Certain infectious and parasitic diseases"	"A00-B99"	"2002"	"2002"	1215	4480089	27.1
	"Alabama"	"01"	"Certain infectious and parasitic diseases"	"A00-B99"	"2003"	"2003"	1350	4503491	30.0
	"Alabama"	"01"	"Certain infectious and parasitic diseases"	"A00-B99"	"2004"	"2004"	1251	4530729	27.6
	"Alabama"	"01"	"Certain infectious and parasitic diseases"	"A00-B99"	"2005"	"2005"	1303	4569805	28.5
	"Alabama"	"01"	"Certain infectious and parasitic diseases"	"A00-B99"	"2006"	"2006"	1312	4628981	28.3
	"Alabama"	"01"	"Certain infectious and parasitic diseases"	"A00-B99"	"2007"	"2007"	1241	4672840	26.6
	"Alabama"	"01"	"Certain infectious and parasitic diseases"	"A00-B99"	"2008"	"2008"	1385	4718206	29.4
	"Alabama"	"01"	"Certain infectious and parasitic diseases"	"A00-B99"	"2009"	"2009"	1381	4757938	29.0
	"Alabama"	"01"	"Certain infectious and parasitic diseases"	"A00-B99"	"2010"	"2010"	1358	4779736	28.4
	"Alabama"	"01"	"Certain infectious and parasitic diseases"	"A00-B99"	"2011"	"2011"	1382	4802740	28.8
	"Alabama"	"01"	"Certain infectious and parasitic diseases"	"A00-B99"	"2012"	"2012"	1380	4822023	28.6
	"Alabama"	"01"	"Certain infectious and parasitic diseases"	"A00-B99"	"2013"	"2013"	1457	4833722	30.1
	"Alabama"	"01"	"Neoplasms"	"C00-D48"	"1999"	"1999"	9743	4430141	219.9
	"Alabama"	"01"	"Neoplasms"	"C00-D48"	"2000"	"2000"	10041	4447100	225.8
	"Alabama"	"01"	"Neoplasms"	"C00-D48"	"2001"	"2001"	10039	4467634	224.7
	"Alabama"	"01"	"Neoplasms"	"C00-D48"	"2002"	"2002"	9922	4480089	221.5
	"Alabama"	"01"	"Neoplasms"	"C00-D48"	"2003"	"2003"	10022	4503491	222.5
	"Alabama"	"01"	"Neoplasms"	"C00-D48"	"2004"	"2004"	9993	4530729	220.6
	"Alabama"	"01"	"Neoplasms"	"C00-D48"	"2005"	"2005"	10142	4569805	221.9
	"Alabama"	"01"	"Neoplasms"	"C00-D48"	"2006"	"2006"	10125	4628981	218.7
